sim,mes,estado,ticket,vendas,faturamento
26,9,medio,13617.823320492356,3.8471458334561146,52389.75224817368
26,10,medio,24160.44545219545,2.260134259331391,54605.85048721424
26,11,baixo,7097.455657579832,2.572923611193225,18261.21124078409
26,12,baixo,7107.684695102813,0.0,0.0
27,1,medio,17656.836106521427,0.817277777803861,14430.539776184809
27,2,medio,18482.580627986,2.30767824081439,42651.849149300855
27,3,alto,30920.67950596281,2.260134259331391,69884.88707323257
27,4,alto,40261.70124285082,2.4518333334115834,98714.9811670802
27,5,baixo,477.448452585978,2.019368055620004,964.1441533573261
27,6,baixo,6152.738890980504,1.8998009259865578,11688.979042438268
27,7,medio,20954.28739109223,4.328569444582591,90702.08813408409
27,8,medio,20855.325988224715,2.260134259331391,47135.83675551097
27,9,medio,17726.273485631737,3.8471458334561146,68195.55918295174
27,10,medio,16289.894800053185,2.260134259331391,36817.34931850448
27,11,alto,22579.905475160696,2.572923611193225,58096.37193555214
27,12,baixo,5806.119970620356,0.0,0.0
28,1,medio,16778.509455170402,0.817277777803861,13712.702922382738
28,2,alto,44656.62594437665,2.30767824081439,103053.12400002535
28,3,medio,19038.12306662795,2.260134259331391,43028.71417625304
28,4,medio,11356.136348661705,2.4518333334115834,27843.353638415676
28,5,baixo,3853.8388470460955,2.019368055620004,7782.319059232313
28,6,alto,27566.06292308682,1.8998009259865578,52370.031867084064
28,7,medio,21854.50032854473,4.328569444582591,94598.72234875892
28,8,medio,19905.225849414168,2.260134259331391,44988.482881989745
28,9,baixo,4684.596903568587,3.8471458334561146,18022.327458985303
28,10,medio,15735.375686734704,2.260134259331391,35564.061673039316
28,11,baixo,5135.597742919576,2.572923611193225,13213.500690348414
28,12,baixo,3135.3996676418287,0.0,0.0
29,1,medio,27208.491025576754,0.817277777803861,22236.895082779665
29,2,medio,10814.719564026222,2.30767824081439,24956.893018412997
29,3,baixo,2541.08833633368,2.260134259331391,5743.200804935159
29,4,alto,29472.259560608392,2.4518333334115834,72261.06840165789
29,5,medio,20918.596947934635,2.019368055620004,42242.34644504932
29,6,medio,17201.360260311496,1.8998009259865578,32679.160150768155
29,7,baixo,7592.365224001267,4.328569444582591,32864.080120723345
29,8,alto,30534.752922359014,2.260134259331391,69012.64118004292
29,9,medio,18672.15416668655,3.8471458334561146,71834.50010401839
29,10,medio,16034.291252094954,2.260134259331391,36239.65098295743
29,11,baixo,4357.01628415958,2.572923611193225,11210.270071867555
29,12,alto,26189.001079879647,0.0,0.0
30,1,medio,25779.728851391952,0.817277777803861,21069.199508051697
30,2,alto,30348.19736210165,2.30767824081439,70033.87470046265
30,3,medio,22819.407804234244,2.260134259331391,51574.92535600392
30,4,alto,45474.486438047315,2.4518333334115834,111495.86166857739
30,5,medio,10361.510232087097,2.019368055620004,20923.7027706565
